AFRINIC Allocated Address Table
-------------------------------

Origin AS       Network
 36992          41.65.212.0/22
 36992          41.65.215.0/24
 36992          41.65.244.0/22
 29571          41.66.0.0/18
 29571          41.66.0.0/19
 29571          41.66.0.0/21
 29571          41.66.8.0/23
 29571          41.66.10.0/24
 29571          41.66.11.0/24
 29571          41.66.12.0/24
 29571          41.66.13.0/24
 29571          41.66.14.0/24
 29571          41.66.16.0/24
 29571          41.66.17.0/24
 29571          41.66.18.0/24
 29571          41.66.19.0/24
 29571          41.66.21.0/24
 29571          41.66.22.0/24
 29571          41.66.23.0/24
 29571          41.66.24.0/24
 29571          41.66.25.0/24
 29571          41.66.26.0/24
 29571          41.66.27.0/24
 29571          41.66.28.0/24
 29571          41.66.29.0/24
 29571          41.66.30.0/24
 29571          41.66.32.0/20
 29571          41.66.32.0/24
 29571          41.66.33.0/24
 29571          41.66.35.0/24
 29571          41.66.36.0/24
 29571          41.66.37.0/24
 29571          41.66.38.0/24
 29571          41.66.39.0/24
 29571          41.66.41.0/24
 29571          41.66.42.0/24
 29571          41.66.43.0/24
 29571          41.66.44.0/24
 29571          41.66.45.0/24
 29571          41.66.46.0/24
 29571          41.66.47.0/24
 29571          41.66.48.0/21
 29571          41.66.49.0/24
 29571          41.66.51.0/24
 29571          41.66.52.0/24
 29571          41.66.53.0/24
 29571          41.66.54.0/24
 29571          41.66.55.0/24
 29571          41.66.60.0/22
 29571          41.66.60.0/24
 29571          41.66.61.0/24
 29571          41.66.62.0/24
 22750          41.66.64.0/18
 22750          41.66.64.0/20
 22750          41.66.81.0/24
 22750          41.66.82.0/23
 22750          41.66.84.0/24
 22750          41.66.112.0/23
 22750          41.66.114.0/24
 22750          41.66.116.0/22
 22750          41.66.120.0/21
 37179          41.66.128.0/18
 29614          41.66.192.0/19
 29614          41.66.207.0/24
 29614          41.66.208.0/24
 29614          41.66.224.0/20
 29614          41.66.240.0/20
 37197          41.67.0.0/18
 37197          41.67.0.0/19
 37197          41.67.12.0/22
 37197          41.67.16.0/22
 37197          41.67.20.0/22
 37197          41.67.32.0/19
 37197          41.67.48.0/22
 37197          41.67.52.0/22
 24863          41.67.64.0/19
 24863          41.67.96.0/19
 30998          41.67.128.0/24
 30998          41.67.129.0/24
 30998          41.67.130.0/24
 30998          41.67.131.0/24
 30998          41.67.132.0/24
 30998          41.67.133.0/24
 30998          41.67.134.0/24
 30998          41.67.135.0/24
 30998          41.67.136.0/24
 30998          41.67.137.0/24
 30998          41.67.138.0/24
 30998          41.67.139.0/24
 30998          41.67.140.0/24
 30998          41.67.141.0/24
 30998          41.67.142.0/24
 30998          41.67.143.0/24
 30998          41.67.144.0/24
 30998          41.67.175.0/24
 23456          41.67.176.0/23
 23456          41.67.178.0/23
 23456          41.67.180.0/22
 15964          41.67.192.0/24
 15964          41.67.200.0/24
 15964          41.67.201.0/24
 15964          41.67.202.0/24
 15964          41.67.203.0/24
 15964          41.67.205.0/24
 15964          41.67.208.0/21
 15964          41.67.216.0/21
 15964          41.67.224.0/22
