APNIC Allocated Address Table
-----------------------------

Origin AS       Network
 45083          1.45.80.0/22
 45083          1.45.84.0/22
 45083          1.45.88.0/22
 45083          1.45.92.0/22
 45083          1.45.96.0/22
 45083          1.45.100.0/22
 45083          1.45.104.0/22
 45083          1.45.108.0/22
 45083          1.45.112.0/22
 45083          1.45.116.0/22
 45083          1.45.120.0/22
 45083          1.45.124.0/22
 45083          1.45.128.0/22
 45083          1.45.132.0/22
 45083          1.45.136.0/22
 45083          1.45.140.0/22
 45083          1.45.144.0/22
 45083          1.45.148.0/22
 45083          1.45.152.0/22
 45083          1.45.156.0/22
 45083          1.45.160.0/22
 45083          1.45.164.0/22
 45083          1.45.168.0/22
 45083          1.45.172.0/22
 45083          1.45.176.0/22
 45083          1.45.180.0/22
 45083          1.45.184.0/22
 45083          1.45.188.0/22
 45083          1.45.192.0/22
 45083          1.45.196.0/22
 45083          1.45.200.0/22
 45083          1.45.204.0/22
 45083          1.45.208.0/22
 24378          1.46.0.0/16
 24378          1.46.0.0/24
 24378          1.46.1.0/24
 24378          1.46.2.0/24
 24378          1.46.3.0/24
 24378          1.46.4.0/24
 24378          1.46.5.0/24
 24378          1.46.6.0/24
 24378          1.46.7.0/24
 24378          1.46.8.0/24
 24378          1.46.9.0/24
 24378          1.46.10.0/24
 24378          1.46.11.0/24
 24378          1.46.12.0/24
 24378          1.46.13.0/24
 24378          1.46.14.0/24
 24378          1.46.15.0/24
 24378          1.46.16.0/22
 24378          1.46.64.0/21
 24378          1.46.64.0/24
 24378          1.46.65.0/24
 24378          1.46.66.0/24
 24378          1.46.67.0/24
 24378          1.46.68.0/24
 24378          1.46.69.0/24
 24378          1.46.70.0/24
 24378          1.46.71.0/24
 24378          1.46.72.0/21
 24378          1.46.72.0/24
 24378          1.46.73.0/24
 24378          1.46.74.0/24
 24378          1.46.75.0/24
 24378          1.46.76.0/24
 24378          1.46.77.0/24
 24378          1.46.78.0/24
 24378          1.46.79.0/24
 24378          1.46.80.0/22
 24378          1.46.96.0/24
 24378          1.46.97.0/24
 24378          1.46.98.0/24
 24378          1.46.99.0/24
 24378          1.46.100.0/24
 24378          1.46.101.0/24
 24378          1.46.102.0/24
 24378          1.46.103.0/24
 24378          1.46.104.0/24
 24378          1.46.105.0/24
 24378          1.46.106.0/24
 24378          1.46.107.0/24
 24378          1.46.108.0/24
 24378          1.46.109.0/24
